Symbol,Name,AtomicNumber,AddH,Colour,CovalentRadius,VdWRadius,Valency,Mass,Valences,Isotopes,Group,Row,PTRow,PTColumn,PTElementType,C# Property - Copy into PeriodicTable.cs
F,Fluorine,9,TRUE,#90E050,0.57,1.47,1,18.9984032,1,19,17,2,1,16,halogen,public Element F { get; private set; } // Fluorine - Atomic Number 9
Ne,Neon,10,FALSE,#B3E3F5,0.58,1.54,0,20.1797,0,,18,2,1,17,noble_gas,public Element Ne { get; private set; } // Neon - Atomic Number 10
Na,Sodium,11,FALSE,#AB5CF2,1.66,2.27,1,22.989768,1,,1,3,2,0,alkali_metal,public Element Na { get; private set; } // Sodium - Atomic Number 11
Mg,Magnesium,12,FALSE,#8AFF00,1.41,1.73,0,24.305,2,,2,3,2,1,alkaline_earth_metal,public Element Mg { get; private set; } // Magnesium - Atomic Number 12
Al,Aluminum,13,FALSE,#BFA6A6,1.21,0,0,26.981539,3,,13,3,2,12,other_metal,public Element Al { get; private set; } // Aluminum - Atomic Number 13
Si,Silicon,14,TRUE,#F0C8A0,1.11,2.1,4,28.0855,4,,14,3,2,13,metalloid,public Element Si { get; private set; } // Silicon - Atomic Number 14
P,Phosphorus,15,TRUE,#FF8000,1.07,1.8,3,30.973762,3|5,,15,3,2,14,non_metal,public Element P { get; private set; } // Phosphorus - Atomic Number 15
S,Sulfur,16,TRUE,#808000,1.05,1.8,2,32.066,2|4|6,,16,3,2,15,non_metal,public Element S { get; private set; } // Sulfur - Atomic Number 16
Cl,Chlorine,17,TRUE,#1FF01F,1.02,1.75,1,35.4527,1|3|5|7,35|37,17,3,2,16,halogen,public Element Cl { get; private set; } // Chlorine - Atomic Number 17
Ar,Argon,18,FALSE,#80D1E3,1.06,1.88,0,39.948,0,,18,3,2,17,noble_gas,public Element Ar { get; private set; } // Argon - Atomic Number 18
K,Potassium,19,FALSE,#8F40D4,2.03,2.75,0,39.0983,1,,1,4,3,0,alkali_metal,public Element K { get; private set; } // Potassium - Atomic Number 19
Ca,Calcium,20,FALSE,#3DFF00,1.76,0,0,40.078,2,,2,4,3,1,alkaline_earth_metal,public Element Ca { get; private set; } // Calcium - Atomic Number 20
